"GeneName","Padj"
"RP11-338N10.2",4.22841878232582e-06
"RP11-338N10.3",4.22841878232582e-06
"VAMP3",4.33219680632282e-06
"RP3-467L1.6",4.36472479152166e-06
"PER3",4.41770985812199e-06
"RP3-467L1.4",4.41834901007578e-06
"UTS2",4.41834901007578e-06
"TNFRSF9",4.4441070648603e-06
"RP5-892F13.2",4.49652762515463e-06
"PARK7",4.49652762515463e-06
"Y_RNA",4.50322553043534e-06
"CTA-215D11.6",4.61403374625347e-06
"CTA-215D11.5",4.65796639137278e-06
"ERRFI1",4.66699370110439e-06
"RP11-431K24.1",4.74294363288615e-06
"CTA-215D11.4",4.82976190904288e-06
"RP11-431K24.2",4.82976190904288e-06
"LINC01714",4.89838248855157e-06
"RNU1-7P",4.97028270919225e-06
"RP11-431K24.4",5.07735417030946e-06
"RNU6-991P",5.1834835841218e-06
"SLC45A1",5.42635775010123e-06
"Y_RNA",5.42635775010123e-06
"RERE",5.42635775010123e-06
"RERE-AS1",5.47892691306778e-06
"ENSG10010135148.1",5.73266541214945e-06
"RP5-1115A15.2",5.80958813656058e-06
"Y_RNA",6.0687170509958e-06
"RP4-633I8.3",6.41826166383028e-06
"RP4-633I8.4",6.83709789588555e-06
"ENO1",6.89345520950931e-06
"MIR6728",7.63543361234364e-06
"ENO1-AS1",7.79025874531599e-06
"RNU6-304P",7.79025874531599e-06
"HMGN2P17",7.85094440697531e-06
"RP3-477M7.5",7.85094440697531e-06
"RP3-477M7.6",7.85094440697531e-06
"CA6",8.07921658600537e-06
"RN7SL451P",8.21123115016794e-06
"SLC2A7",8.22539837389342e-06
"SLC2A5",8.40902067926019e-06
"ENSG10010139882.1",8.40902067926019e-06
"GPR157",8.80641449166364e-06
"MIR34AHG",8.84900083644968e-06
"MIR34A",8.94198269557267e-06
"LNCTAM34A",8.94198269557267e-06
"H6PD",8.94198269557267e-06
"SPSB1",9.07948100668603e-06
"CTD-2510L9.2",9.22272830507158e-06
"LINC02606",9.49639311399227e-06
"RNA5SP40",1.01118208616858e-05
"RP13-392I16.1",1.07454832307542e-05
"SLC25A33",1.09755701045907e-05
"RP13-15M17.1",1.11730341969014e-05
"TMEM201",1.17920920864897e-05
"PIK3CD",1.2015667728482e-05
"PIK3CD-AS1",1.20733869125113e-05
"RP11-558F24.2",1.29115792745834e-05
"PIK3CD-AS2",1.29441488802603e-05
"CLSTN1",1.35311293499966e-05
"MZT1P1",1.35311293499966e-05
"RP11-84A14.7",1.40149661678139e-05
"CTNNBIP1",1.42395173036032e-05
"RP11-84A14.5",1.44000360413241e-05
"RP11-84A14.8",1.44000360413241e-05
"LZIC",1.46256705118228e-05
"RP11-84A14.4",1.50699210064366e-05
"NMNAT1",1.51464238505734e-05
"RN7SKP269",1.51464238505734e-05
"TMEM274P",1.56692956114595e-05
"MIR5697",1.64642404983507e-05
"RP11-807G9.2",1.64843429950951e-05
"RBP7",1.64972173171917e-05
"UBE4B",1.65765922623873e-05
"RP11-496H15.2",1.67581353544149e-05
"PGAM1P11",1.6816546313174e-05
"RNU6-828P",1.69283968162946e-05
"KIF1B",1.69823510024908e-05
"ENSG00000264881",1.70605027928335e-05
"RNU6-37P",1.75774416092722e-05
"RN7SL731P",1.75774416092722e-05
"RP4-736L20.4",1.85588787815947e-05
"RP4-736L20.5",1.86922253154067e-05
"PGD",1.93136206351532e-05
"RP4-736L20.3",1.94246031369498e-05
"CENPS-CORT",2.07028389639974e-05
"CENPS",2.07028389639974e-05
"CORT",2.09933795857199e-05
"DFFA",2.09933795857199e-05
"RP5-1113E3.3",2.09933795857199e-05
"PEX14",2.15562336387122e-05
"RP4-734G22.4",2.18583284699591e-05
"RN7SL614P",2.19195262721276e-05
"CASZ1",2.22723187776067e-05
"RP4-734G22.3",2.24098026400181e-05
"HSPE1P24",2.26739195784236e-05
"C1orf127",2.28206225160366e-05
"CFL1P6",2.28217680730176e-05
"TARDBP",2.28271791023495e-05
"MASP2",2.32320151024031e-05
"SRM",2.38071586130967e-05
"EXOSC10",2.38101980269287e-05
"RP4-635E18.7",2.39227761718306e-05
"EXOSC10-AS1",2.41486921477876e-05
"MTOR",2.4363853498144e-05
"MTOR-AS1",2.49381013276998e-05
"RNU6-537P",2.52243846140673e-05
"ANGPTL7",2.53005663904499e-05
"RNU6-291P",2.53075810693398e-05
"UBIAD1",2.55446482257712e-05
"UBE2V2P3",2.56056504395158e-05
"RP4-796F18.3",2.57135765419463e-05
"MTCYBP45",2.57135765419463e-05
"DISP3",2.57135765419463e-05
"RP11-149P14.2",2.57135765419463e-05
"LINC01647",2.63871762252822e-05
"RP3-330O12.5",2.65614344662707e-05
"FBXO2",2.69899585311399e-05
"FBXO44",2.7722807870411e-05
"FBXO6",2.7722807870411e-05
"MAD2L2",2.8692242169776e-05
"DRAXIN",2.89145995822229e-05
"AGTRAP",2.90936113731353e-05
"C1orf167",2.91909183611767e-05
"C1orf167-AS1",2.95212430576499e-05
"MTHFR",3.08889720861659e-05
"CLCN6",3.0890192733073e-05
"ENSG10010138681.1",3.09026412647572e-05
"ENSG10010135835.1",3.13464473793792e-05
"NPPA",3.13464473793792e-05
"ENSG10010134403.1",3.15565033462195e-05
"NPPB",3.15565033462195e-05
"SBF1P2",3.3106245295481e-05
"RP5-934G17.7",3.46990006835765e-05
"RNU5E-1",3.46990006835765e-05
"RNU5E-4P",3.50426899520381e-05
"KIAA2013",3.53869527248476e-05
"PLOD1",3.54250590386952e-05
"RP5-1077B9.6",3.54263964475143e-05
"MFN2",3.55020667318476e-05
"RP5-1077B9.5",3.55233912883123e-05
"MIIP",3.55609741045426e-05
"Y_RNA",3.57167245091082e-05
"MIR6729",3.60610328975954e-05
"RN7SL649P",3.63452330490602e-05
"TNFRSF8",3.65554435047671e-05
"RNU6-777P",3.65554435047671e-05
"RPL23AP89",3.70655795883986e-05
"RP11-426M1.3",3.80575161436912e-05
"MIR7846",3.85117016849432e-05
"TNFRSF1B",3.85117016849432e-05
"MIR4632",3.90054247510914e-05
"RPL10P17",3.90437759894585e-05
"SNORA70",3.91191666571256e-05
"VPS13D",3.93513271806791e-05
"SNORA59A",3.94846584032824e-05
"LINC02766",3.98650175869122e-05
"DHRS3",4.13671253246491e-05
"RNU6ATAC18P",4.16097050818936e-05
"MIR6730",4.21157832065706e-05
"RP11-474O21.5",4.25591756170307e-05
"AADACL4",4.27163921730396e-05
"RP11-474O21.2",4.30682169944533e-05
"AADACL3",4.34383096857728e-05
"C1orf158",4.36776714632504e-05
"PRAMEF12",4.37549443389782e-05
"PRAMEF1",4.39574274358086e-05
"LINC01784",4.40726683940523e-05
"PRAMEF11",4.44416260272601e-05
"PRAMEF30P",4.6121050257238e-05
"HNRNPCL1",4.6121050257238e-05
"PRAMEF2",4.6121050257238e-05
"PRAMEF4",4.64732306093767e-05
"PRAMEF10",4.65428069036717e-05
"PRAMEF7",4.65762414556509e-05
"RNU6-1072P",4.6865283055854e-05
"PRAMEF29P",4.6865283055854e-05
"PRAMEF6",4.71291086603236e-05
"PRAMEF28P",4.71388995240031e-05
"PRAMEF27",4.89402560065437e-05
"HNRNPCL3",5.01868952318367e-05
"PRAMEF25",5.03810327585236e-05
"PRAMEF34P",5.11868407450566e-05
"PRAMEF35P",5.1438721597558e-05
"HNRNPCL2",5.1438721597558e-05
"PRAMEF36P",5.2136799302983e-05
"RP13-221M14.2",5.25389454768516e-05
"PRAMEF26",5.26192695881694e-05
"HNRNPCL4",5.26192695881694e-05
"PRAMEF9",5.33945224553877e-05
"PRAMEF13",5.34856354647779e-05
"PRAMEF18",5.35968393755026e-05
"PRAMEF31P",5.40089105879433e-05
"PRAMEF5",5.41028814010769e-05
"PRAMEF32P",5.4654314897923e-05
"RNU6-771P",5.46644732703419e-05
"PRAMEF8",5.52469696210185e-05
"PRAMEF33",5.53092240856777e-05
"PRAMEF15",5.54800505110736e-05
"RP11-219C24.10",5.67774191011881e-05
"PRAMEF14",5.70003877975575e-05
"PRAMEF19",5.83298638762199e-05
"PRAMEF17",5.83298638762199e-05
"PRAMEF20",5.97415675312049e-05
"LRRC38",6.0056587914409e-05
"RP4-597A16.2",6.03477284073166e-05
"BRWD1P1",6.1258832699491e-05
"PDPN",6.13185502242558e-05
"RNA5SP41",6.13185502242558e-05
"CTA-520D8.2",6.13185502242558e-05
"ENSG10010140100.1",6.13185502242558e-05
"PRDM2",6.19812628574375e-05
"KAZN",6.28940339844848e-05
"RNU6-1265P",6.35316055779018e-05
"RP11-344F13.1",6.41810654226777e-05
"KAZN-AS1",6.44484175710501e-05
"TBCAP2",6.44484175710501e-05
"RP5-864I18.1",6.45958934566606e-05
"TMEM51-AS1",6.49128722254519e-05
"TMEM51",6.49900517392326e-05
"C1orf195",6.50647606947456e-05
"MFFP1",6.55034860456066e-05
"ZBTB2P1",6.5540738962435e-05
"FHAD1",6.5540738962435e-05
"FHAD1-AS1",6.60644659276957e-05
"RP3-467K16.7",6.61803431255162e-05
"RP3-467K16.4",6.62358332834628e-05
"EFHD2",6.67258411513284e-05
"CTRC",6.75240145119458e-05
"CELA2A",6.85928985586286e-05
"CELA2B",6.91061590973014e-05
"CASP9",6.91061590973014e-05
"DNAJC16",7.00525028464385e-05
"SCARNA21B",7.02881656496377e-05
"RP4-680D5.8",7.02881656496377e-05
"AGMAT",7.02881656496377e-05
"RP4-680D5.2",7.02881656496377e-05
"CHCHD2P6",7.02881656496377e-05
"RNU7-179P",7.14705560920359e-05
"CD24P1",7.18303907978399e-05
"DDI2",7.28562405481797e-05
"RSC1A1",7.34327756983032e-05
"RP4-680D5.9",7.38097094052484e-05
"PLEKHM2",7.56296739109131e-05
"RP11-288I21.1",7.63112013128879e-05
"SLC25A34",7.65212723772824e-05
"SLC25A34-AS1",7.65735872882544e-05
"TMEM82",7.65735872882544e-05
"FBLIM1",7.7348593458705e-05
"RPL12P14",7.85588740637146e-05
"UQCRHL",7.86731884374186e-05
"RP11-169K16.8",7.9652133040698e-05
"FLJ37453",8.03296696933075e-05
"SPEN",8.03778926145965e-05
"RP1-134O19.3",8.05081275697592e-05
"ZBTB17",8.05081275697592e-05
"RP11-5P18.1",8.10579650821787e-05
"RP11-5P18.3",8.11237485964166e-05
"RP11-5P18.11",8.24367008844578e-05
"TBC1D3P6",8.24367008844578e-05
"SRARP",8.32260794151747e-05
"RP11-5P18.5",8.40740822222793e-05
"HSPB7",8.54472752820196e-05
"CLCNKA",8.58828114472156e-05
"RP11-5P18.10",8.6194750634769e-05
"CLCNKB",8.7208837544738e-05
"FAM131C",8.7208837544738e-05
"EPHA2",8.7208837544738e-05
"RP11-276H7.2",8.80375420151144e-05
"RP11-276H7.3",8.80375420151144e-05
"ARHGEF19-AS1",8.8070355074541e-05
"ARHGEF19",8.8070355074541e-05
"ANO7L1",8.90392843668606e-05
"RP4-733M16.8",8.90919982608774e-05
"CPLANE2",8.92260924104931e-05
"MT1XP1",8.95444958148407e-05
"FBXO42",8.97793316942573e-05
"SZRD1",8.98013311168517e-05
"RPL22P3",9.03954317366239e-05
"SPATA21",9.03954317366239e-05
"NECAP2",9.11643358036785e-05
"LINC01772",9.11643358036785e-05
"CROCCP3",9.11643358036785e-05
"RNU1-1",9.11643358036785e-05
"RP4-798A10.7",9.11643358036785e-05
"RP4-798A10.8",9.11643358036785e-05
"RP4-798A10.4",9.24003102748311e-05
"LINC01783",9.30035282986254e-05
"RNU1-6P",9.43106203776939e-05
"PDE4DIPP8",9.5435061705774e-05
"NBPF1",9.70748857509174e-05
"RP5-1182A14.5",9.70748857509174e-05
"CROCCP2",9.7461784371439e-05
"RP5-1182A14.8",9.76822961682655e-05
"MST1P2",9.93300879126401e-05
"RP1-163M9.8",9.99707559959533e-05
"RNU1-3",0.00010165599711038
"RP5-875O13.7",0.000104502502689258
"EIF1AXP1",0.000104510090906636
"ESPNP",0.000104767493847649
"RP1-163M9.7",0.00010560702802315
"RP5-1182A14.7",0.000107096791493122
"CROCC",0.000107631190888209
"CROCCP4",0.000108003916014942
"RNU1-4",0.000108003916014942
"MST1L",0.000108003916014942
"RP11-108M9.1",0.000108003916014942
"PDE4DIPP9",0.000108003916014942
"MIR3675",0.000108279077964893
"RP11-108M9.3",0.0001089134458624
"RNU1-5P",0.000110268952235896
"RP11-108M9.4",0.000110649776938962
"RP11-108M9.5",0.000111009148049949
"RNU1-2",0.000112272019227987
"RP11-108M9.6",0.000112272019227987
"MFAP2",0.000113006745641761
"RP1-37C10.7",0.000113253630033735
"RP1-37C10.3",0.000114696837724148
"ATP13A2",0.000115442478114377
"RP1-37C10.8",0.000115442478114377
"SDHB",0.000115442478114377
"PADI2",0.000115442478114377
"LINC02783",0.00011617831526645
"RP11-380J14.4",0.000116729406627349
"PADI1",0.000117726468139713
"PADI3",0.000119479576599685
"MIR3972",0.000119479576599685
"PADI4",0.000120396379271853
"PADI6",0.000120754081153753
"RCC2-AS1",0.000120754081153753
"RCC2",0.000120754081153753
"ARHGEF10L",0.000121934694903844
"LINC02810",0.000122960653647825
"ACTL8",0.000124631561225128
"RP11-658E23.1",0.000124640578092012
"LINC01654",0.000125954409368978
"IGSF21",0.000127649693517033
"RP11-174G17.3",0.000127851450083156
"IGSF21-AS1",0.000128366414157149
"RP11-422P22.1",0.000129126128095669
"KLHDC7A",0.000129341774409078
"DYNLL1P3",0.000130191916068433
"RP1-8B22.2",0.000130364807455467
"PAX7",0.000130491195209857
"TAS1R2",0.0001311151227481
"ALDH4A1",0.0001311151227481
"MIR4695",0.0001311151227481
"MIR1290",0.000132758594361047
"IFFO2",0.000133691302648312
"RP5-1126H10.2",0.000133955586178664
"UBR4",0.000135094971330389
"EMC1-AS1",0.00013564042197854
"EMC1",0.000135862471036131
"MRTO4",0.000136859278402772
"RP4-657E11.11",0.000136859278402772
"AKR7L",0.000136859278402772
"AKR7A3",0.000136859278402772
"RP4-657E11.10",0.00013688394314848
"AKR7A2",0.000137813976458658
"RNU6-1099P",0.000137813976458658
"SLC66A1",0.000137833678202715
"CAPZB",0.000139487723676722
"RN7SL277P",0.000139487723676722
"MICOS10",0.000139544331499177
"RNU4-28P",0.000140424256024218
