"ML_Model","Disease","LLM_1","LLM_2","n_seeds","mean_1","mean_2","df","p_value","q_value"
"EXTRATREES","KD/MIS-C","DESeq","GPT o3 Long",56,0.917279411764706,0.891141456582633,55,4.00918535613468e-05,9.98638323197781e-05
"EXTRATREES","KD/MIS-C","DESeq","GPT o3 Short",100,0.912274509803922,0.889009803921569,99,6.01586450301946e-07,1.76975324280637e-06
"EXTRATREES","KD/MIS-C","DESeq","Gemini 2.5 Pro Long",100,0.912274509803922,0.874186274509804,99,1.59012876852714e-13,7.04716158779075e-13
"EXTRATREES","KD/MIS-C","DESeq","Gemini 2.5 Pro Short",98,0.914265706282513,0.8656262505002,97,3.60408722451103e-11,1.37418409537921e-10
"EXTRATREES","KD/MIS-C","DESeq","Gemini Advanced 2.0 Flash Long",100,0.912274509803922,0.876598039215686,99,2.8521257229751e-12,1.14168668969531e-11
"EXTRATREES","KD/MIS-C","DESeq","Gemini Advanced 2.0 Flash Short",100,0.912274509803922,0.857813725490196,99,9.76586156713626e-14,4.42870466416645e-13
"EXTRATREES","KD/MIS-C","DESeq","Random",100,0.912274509803922,0.775274509803922,99,1.23307931574621e-31,2.13057375442224e-30
"EXTRATREES","KD/MIS-C","GPT 4o Long","GPT 4o Short",100,0.863764705882353,0.806607843137255,99,1.66140277256417e-07,5.1076909561939e-07
"EXTRATREES","KD/MIS-C","GPT 4o Long","GPT o3 Long",56,0.862745098039216,0.891141456582633,55,0.000130711006725531,0.000312470270018125
"EXTRATREES","KD/MIS-C","GPT 4o Long","GPT o3 Short",100,0.863764705882353,0.889009803921569,99,2.97627032656637e-06,8.12521799152619e-06
"EXTRATREES","KD/MIS-C","GPT 4o Long","Gemini 2.5 Pro Long",100,0.863764705882353,0.874186274509804,99,0.0268653466844459,0.0450506120691261
"EXTRATREES","KD/MIS-C","GPT 4o Long","Gemini 2.5 Pro Short",98,0.863945578231293,0.8656262505002,97,0.817836128123456,0.861378329389288
"EXTRATREES","KD/MIS-C","GPT 4o Long","Gemini Advanced 2.0 Flash Long",100,0.863764705882353,0.876598039215686,99,0.00964542169845231,0.0179129260114114
"EXTRATREES","KD/MIS-C","GPT 4o Long","Gemini Advanced 2.0 Flash Short",100,0.863764705882353,0.857813725490196,99,0.310238114397794,0.395032673650176
"EXTRATREES","KD/MIS-C","GPT 4o Long","Random",100,0.863764705882353,0.775274509803922,99,1.94341552743675e-18,1.18957945961936e-17
"EXTRATREES","KD/MIS-C","GPT 4o Short","GPT o3 Long",56,0.804639355742297,0.891141456582633,55,1.01977870290735e-08,3.38685627607916e-08
"EXTRATREES","KD/MIS-C","GPT 4o Short","GPT o3 Short",100,0.806607843137255,0.889009803921569,99,1.54641709336814e-12,6.28231944180806e-12
"EXTRATREES","KD/MIS-C","GPT 4o Short","Gemini 2.5 Pro Long",100,0.806607843137255,0.874186274509804,99,7.04998184908945e-11,2.5938612463631e-10
"EXTRATREES","KD/MIS-C","GPT 4o Short","Gemini 2.5 Pro Short",98,0.80500200080032,0.8656262505002,97,3.57199039966834e-09,1.20389306062896e-08
