"GeneName","Padj"
"KLHL21",5.86438230365155e-05
"PHF13",5.92508342547408e-05
"THAP3",6.41645901978663e-05
"DNAJC11",6.46191651811246e-05
"LINC01672",6.53659122554273e-05
"RP11-242F24.2",6.85673995563688e-05
"CAMTA1-DT",7.15889543912719e-05
"CAMTA1",7.15889543912719e-05
"RP11-312B8.2",7.15889543912719e-05
"RP11-334N17.1",7.16486905581639e-05
"RNU1-8P",7.21372727926687e-05
"CAMTA1-IT1",7.41443123269479e-05
"CAMTA1-AS2",7.48663708021948e-05
"CAMTA1-AS1",7.48663708021948e-05
"RP11-338N10.1",7.48918011003963e-05
"RP11-338N10.2",7.80224322695038e-05
"RP11-338N10.3",8.26710179233878e-05
"VAMP3",8.26710179233878e-05
"RP3-467L1.6",8.34967202623358e-05
"PER3",8.43000919193632e-05
"RP3-467L1.4",8.49088718518067e-05
"UTS2",8.63973146290654e-05
"TNFRSF9",8.63973146290654e-05
"RP5-892F13.2",8.68780925928283e-05
"PARK7",8.78938409127187e-05
"Y_RNA",8.78938409127187e-05
"CTA-215D11.6",8.80141819397835e-05
"CTA-215D11.5",9.58180231102115e-05
"ERRFI1",9.58180231102115e-05
"RP11-431K24.1",9.78730727984293e-05
"CTA-215D11.4",0.000101118026005687
"RP11-431K24.2",0.000102167422691114
"LINC01714",0.000105174617560676
"RNU1-7P",0.000108457784540283
"RP11-431K24.4",0.000108457784540283
"RNU6-991P",0.000109372614061567
"SLC45A1",0.000110342510806534
"Y_RNA",0.000110593502925406
"RERE",0.000110593502925406
"RERE-AS1",0.000112821886095394
"ENSG10010135148.1",0.000112873579827839
"RP5-1115A15.2",0.000114003212705915
"Y_RNA",0.000114816897492112
"RP4-633I8.3",0.000124698975865979
"RP4-633I8.4",0.000125191727978585
"ENO1",0.000126335991451648
"MIR6728",0.000129113767751108
"ENO1-AS1",0.0001295858664751
"RNU6-304P",0.000130555859343471
"HMGN2P17",0.000139155583822289
"RP3-477M7.5",0.000139176646466801
"RP3-477M7.6",0.000142978407599502
"CA6",0.000145080988990391
"RN7SL451P",0.000146355565888657
"SLC2A7",0.000149960377985887
"SLC2A5",0.000155745484333959
"ENSG10010139882.1",0.000156991449962626
"GPR157",0.00015805173547108
"MIR34AHG",0.000160302565539026
"MIR34A",0.000160835996989487
"LNCTAM34A",0.00016356306299374
"H6PD",0.00016356306299374
"SPSB1",0.000165854612034842
"CTD-2510L9.2",0.000170427870401475
"LINC02606",0.00017396591333735
"RNA5SP40",0.000178507841388311
"RP13-392I16.1",0.000180419593701008
"SLC25A33",0.000181137081049063
"RP13-15M17.1",0.000181357410675199
"TMEM201",0.000181357410675199
"PIK3CD",0.000184552099486884
"PIK3CD-AS1",0.000185003848237456
"RP11-558F24.2",0.000185003848237456
"PIK3CD-AS2",0.000185003848237456
"CLSTN1",0.000185003848237456
"MZT1P1",0.000190463653669786
"RP11-84A14.7",0.000190510261329237
"CTNNBIP1",0.000200606209987702
"RP11-84A14.5",0.000202861280898155
"RP11-84A14.8",0.000202861280898155
"LZIC",0.000208076608804744
"RP11-84A14.4",0.000209277842232195
"NMNAT1",0.000209632113509311
"RN7SKP269",0.000213192868722884
"TMEM274P",0.000216985474318104
"MIR5697",0.000216985474318104
"RP11-807G9.2",0.000217801925284857
"RBP7",0.000219770209733585
"UBE4B",0.000223277565871663
"RP11-496H15.2",0.000226867286717403
"PGAM1P11",0.000226867286717403
"RNU6-828P",0.000235996200039983
"KIF1B",0.000238035268368239
"ENSG00000264881",0.000244437652367663
"RNU6-37P",0.000248656969532582
"RN7SL731P",0.000248656969532582
"RP4-736L20.4",0.000252892411635677
"RP4-736L20.5",0.000261189415505857
"PGD",0.000263772845361811
"RP4-736L20.3",0.000266369406006962
"CENPS-CORT",0.000267710676801505
"CENPS",0.000269439742735123
"CORT",0.00027034925297887
"DFFA",0.00027745304981089
"RP5-1113E3.3",0.00027745304981089
"PEX14",0.000279336080068729
"RP4-734G22.4",0.00029304457723082
"RN7SL614P",0.000300357697727707
"CASZ1",0.000301107445078303
"RP4-734G22.3",0.000301107445078303
"HSPE1P24",0.000306940768166744
"C1orf127",0.000306940768166744
"CFL1P6",0.000313354829854445
"TARDBP",0.000315883892411156
"MASP2",0.000319707560344
"SRM",0.000320635973551199
"EXOSC10",0.000328464897262832
"RP4-635E18.7",0.000329204222899341
"EXOSC10-AS1",0.000335521274815511
"MTOR",0.000336405835115734
"MTOR-AS1",0.000336498216340129
"RNU6-537P",0.000341691564448931
"ANGPTL7",0.000351133534332115
"RNU6-291P",0.000357583716082858
"UBIAD1",0.000361290493889698
"UBE2V2P3",0.000361290493889698
"RP4-796F18.3",0.000361290493889698
"MTCYBP45",0.000361290493889698
"DISP3",0.000362798337900793
"RP11-149P14.2",0.00036989222053283
"LINC01647",0.000371717279210074
"RP3-330O12.5",0.000376777542021583
"FBXO2",0.000379940942087713
"FBXO44",0.000385039865544323
"FBXO6",0.000394769364612626
"MAD2L2",0.000400498607811633
"DRAXIN",0.0004008159544892
"AGTRAP",0.000401090483430784
"C1orf167",0.000401090483430784
"C1orf167-AS1",0.000401687476353174
"MTHFR",0.00040386298232866
"CLCN6",0.000406031513650951
"ENSG10010138681.1",0.000406137099630931
"ENSG10010135835.1",0.000406137099630931
"NPPA",0.000406137099630931
"ENSG10010134403.1",0.000411990701854545
"NPPB",0.000418020947213685
"SBF1P2",0.000418020947213685
"RP5-934G17.7",0.000418020947213685
"RNU5E-1",0.000418020947213685
"RNU5E-4P",0.000422596250422536
"KIAA2013",0.000424037363423827
"PLOD1",0.000424869911036861
"RP5-1077B9.6",0.00043239208050733
"MFN2",0.000436027869576872
"RP5-1077B9.5",0.000437111683964314
"MIIP",0.000446572666174791
"Y_RNA",0.000447165385581531
"MIR6729",0.000451838845063215
"RN7SL649P",0.000451838845063215
"TNFRSF8",0.000451838845063215
"RNU6-777P",0.000455196327083412
"RPL23AP89",0.000458458484709898
"RP11-426M1.3",0.000458458484709898
"MIR7846",0.000458458484709898
"TNFRSF1B",0.000464398477947544
"MIR4632",0.000470569542802226
"RPL10P17",0.000477671981501668
"SNORA70",0.000477861750312577
"VPS13D",0.000488845641168919
"SNORA59A",0.000488845641168919
"LINC02766",0.000488925803721984
"DHRS3",0.000488925803721984
"RNU6ATAC18P",0.000490765430215198
"MIR6730",0.000500018190378367
"RP11-474O21.5",0.000506403540846293
"AADACL4",0.000507120819711187
"RP11-474O21.2",0.000512630243731833
"AADACL3",0.000513089333619857
"C1orf158",0.000517382166930665
"PRAMEF12",0.000529965853610907
"PRAMEF1",0.000529965853610907
"LINC01784",0.000531246556156037
"PRAMEF11",0.000533175363375568
"PRAMEF30P",0.000537973205385419
"HNRNPCL1",0.000542295422180574
"PRAMEF2",0.000542295422180574
"PRAMEF4",0.000548282692347627
"PRAMEF10",0.000556280077878719
"PRAMEF7",0.000565891610067633
"RNU6-1072P",0.000567021941563625
"PRAMEF29P",0.000567123928303308
"PRAMEF6",0.000572920521176079
"PRAMEF28P",0.000580827326601419
"PRAMEF27",0.00058475933175789
"HNRNPCL3",0.000590417487865877
"PRAMEF25",0.000595751050883445
"PRAMEF34P",0.00059673214550828
"PRAMEF35P",0.00059673214550828
"HNRNPCL2",0.000611316830057686
"PRAMEF36P",0.00062077096676206
"RP13-221M14.2",0.000621223023988849
"PRAMEF26",0.000621869246364126
"HNRNPCL4",0.000625282051802144
"PRAMEF9",0.000640222650698487
"PRAMEF13",0.000641335183043122
"PRAMEF18",0.000641335183043122
"PRAMEF31P",0.000644556139811406
"PRAMEF5",0.000653383671200729
"PRAMEF32P",0.000656878896882911
"RNU6-771P",0.000658814534834489
"PRAMEF8",0.00065911177655934
"PRAMEF33",0.000673526508723057
"PRAMEF15",0.000682511903992443
"RP11-219C24.10",0.000682747355561672
"PRAMEF14",0.000682747355561672
"PRAMEF19",0.000684935421037252
"PRAMEF17",0.000686772301597295
"PRAMEF20",0.000697804433373459
"LRRC38",0.000705606812920928
"RP4-597A16.2",0.000705606812920928
"BRWD1P1",0.000719997508582514
"PDPN",0.000719997508582514
"RNA5SP41",0.00072736330125201
"CTA-520D8.2",0.00072736330125201
"ENSG10010140100.1",0.000728940952328273
"PRDM2",0.000734393997144243
"KAZN",0.000746016951159369
"RNU6-1265P",0.000754382555571602
"RP11-344F13.1",0.000756977397849178
"KAZN-AS1",0.000763567791724671
"TBCAP2",0.000776615984445849
"RP5-864I18.1",0.000777284359646167
"TMEM51-AS1",0.000786684013808663
"TMEM51",0.000795318370266011
"C1orf195",0.000795318370266011
"MFFP1",0.000806965869619543
"ZBTB2P1",0.000813180712079537
"FHAD1",0.000813889674384341
"FHAD1-AS1",0.000836323598078524
"RP3-467K16.7",0.000838740270272185
"RP3-467K16.4",0.000851096164052263
"EFHD2",0.000851096164052263
"CTRC",0.000869022785378784
"CELA2A",0.000869022785378784
"CELA2B",0.000870148581005791
"CASP9",0.000873179109726422
"DNAJC16",0.000876215804245587
"SCARNA21B",0.000892056095811603
"RP4-680D5.8",0.000901817587996699
"AGMAT",0.000903736416449895
"RP4-680D5.2",0.00090507632297247
"CHCHD2P6",0.000907316415690044
"RNU7-179P",0.000939406937016628
"CD24P1",0.000948617521153048
"DDI2",0.000948617521153048
"RSC1A1",0.000953937127581113
"RP4-680D5.9",0.000953937127581113
"PLEKHM2",0.000958386464749565
"RP11-288I21.1",0.000958386464749565
"SLC25A34",0.000988485526931213
"SLC25A34-AS1",0.000999297238692207
"TMEM82",0.0010053039217944
"FBLIM1",0.00100538290937739
"RPL12P14",0.00103625027017071
"UQCRHL",0.001040696852743
"RP11-169K16.8",0.001040696852743
"FLJ37453",0.001040696852743
"SPEN",0.0010631984368506
"RP1-134O19.3",0.00106995535132727
"ZBTB17",0.00113301568879074
"RP11-5P18.1",0.00115212005731327
"RP11-5P18.3",0.00115595447570104
"RP11-5P18.11",0.00117229290333425
"TBC1D3P6",0.00118224673437646
"SRARP",0.00118375650438344
"RP11-5P18.5",0.00119303404845094
"HSPB7",0.00119310020321538
"CLCNKA",0.0012160024779355
"RP11-5P18.10",0.00121835709062018
"CLCNKB",0.00122357714255941
"FAM131C",0.00125003585186413
"EPHA2",0.00128861913986118
"RP11-276H7.2",0.00128995121524026
"RP11-276H7.3",0.00130944974585081
"ARHGEF19-AS1",0.00130944974585081
"ARHGEF19",0.00130944974585081
"ANO7L1",0.00130944974585081
"RP4-733M16.8",0.0013230041531307
"CPLANE2",0.0013230041531307
"MT1XP1",0.0013230041531307
"FBXO42",0.0013230041531307
"SZRD1",0.00133158511892105
"RPL22P3",0.00133158511892105
"SPATA21",0.0013375190189262
"NECAP2",0.0013375190189262
"LINC01772",0.00134744408264031
"CROCCP3",0.00136280037308009
"RNU1-1",0.00136638671026268
"RP4-798A10.7",0.00140798186498725
"RP4-798A10.8",0.00140798186498725
"RP4-798A10.4",0.00143908544595051
"LINC01783",0.00143981286844887
"RNU1-6P",0.00146126087580826
"PDE4DIPP8",0.00146126087580826
"NBPF1",0.00146126087580826
"RP5-1182A14.5",0.00146126087580826
"CROCCP2",0.00147066530874694
"RP5-1182A14.8",0.0014725726718273
"MST1P2",0.00147681844765238
"RP1-163M9.8",0.00148232647671816
"RNU1-3",0.00148773456420357
"RP5-875O13.7",0.00148829722544667
"EIF1AXP1",0.00149019834696424
"ESPNP",0.00153238133268013
"RP1-163M9.7",0.00155430124170285
"RP5-1182A14.7",0.00155430124170285
"CROCC",0.00156421950860271
"CROCCP4",0.00156421950860271
"RNU1-4",0.00157757410541419
"MST1L",0.00157983113627718
"RP11-108M9.1",0.00158001215414116
"PDE4DIPP9",0.00158001215414116
"MIR3675",0.00158001215414116
"RP11-108M9.3",0.00160585349486614
"RNU1-5P",0.00161164166662969
"RP11-108M9.4",0.00161757892295934
"RP11-108M9.5",0.0016245847313066
"RNU1-2",0.00163583536047914
"RP11-108M9.6",0.001680184297313
"MFAP2",0.00168919563569655
"RP1-37C10.7",0.00169108361032299
"RP1-37C10.3",0.00169108361032299
"ATP13A2",0.00169108361032299
"RP1-37C10.8",0.00171272115630246
"SDHB",0.00173868380478287
"PADI2",0.00174515582634306
"LINC02783",0.00175781020877589
"RP11-380J14.4",0.00175781020877589
"PADI1",0.00175781020877589
"PADI3",0.00176079870406688
"MIR3972",0.00177421247890449
"PADI4",0.00179275846376351
"PADI6",0.00180946727552644
"RCC2-AS1",0.00183169188734538
"RCC2",0.00185077253564224
"ARHGEF10L",0.00186540485296061
"LINC02810",0.00186617059934138
"ACTL8",0.00186617059934138
"RP11-658E23.1",0.00190402655915832
"LINC01654",0.00190797684514055
"IGSF21",0.00192088222312539
"RP11-174G17.3",0.00196062891866553
"IGSF21-AS1",0.00202094100580051
"RP11-422P22.1",0.00203434954323529
"KLHDC7A",0.00203803748768542
"DYNLL1P3",0.00204471389583134
"RP1-8B22.2",0.0020560402006439
"PAX7",0.0020560402006439
"TAS1R2",0.00210077617728174
"ALDH4A1",0.0021226882230517
"MIR4695",0.00213879241456642
"MIR1290",0.00219279043539923
"IFFO2",0.00221033604672585
"RP5-1126H10.2",0.00221033604672585
"UBR4",0.00221033604672585
"EMC1-AS1",0.00221912434679097
"EMC1",0.00222029722024482
"MRTO4",0.00223040185729488
"RP4-657E11.11",0.00223639152903998
"AKR7L",0.00224946566106699
"AKR7A3",0.00227738868627877
"RP4-657E11.10",0.00228162797287803
"AKR7A2",0.00228162797287803
"RNU6-1099P",0.00228278658821186
"SLC66A1",0.00228905453535206
"CAPZB",0.00233154187592474
"RN7SL277P",0.00234566145595201
"MICOS10",0.0023584447248941
"RNU4-28P",0.00238800219512915
"RP5-1056L3.1",0.00238886415442183
"NBL1",0.00239437119774687
"MICOS10-NBL1",0.00239437119774687
"RP5-1056L3.3",0.00241924177578751
"HTR6",0.00241924177578751
"TMCO4",0.00245882537662072
"RNF186",0.00247131458462661
"RP11-91K11.2",0.00248475037119716
"OTUD3",0.00250302469772016
"PLA2G2E",0.00251781011972645
"RN7SL304P",0.00252471724707294
"PLA2G2A",0.00254193687006529
"PLA2G5",0.00258338652025706
"PLA2G2D",0.00258338652025706
"PLA2G2F",0.00258338652025706
"RP3-340N1.2",0.00258384049708509
"PLA2G2C",0.00258452467870582
"UBXN10",0.00259585758843677
"LINC01757",0.00261913749282279
"RP3-340N1.7",0.0026205824343807
"VWA5B1",0.00263852530525625
"RP4-745E8.2",0.00263992923877235
"LINC01141",0.00264806720004715
"RP4-749H3.2",0.00266720019309221
"RP4-749H3.4",0.00269740079100678
"RP4-749H3.3",0.00270411991753559
"CAMK2N1",0.00270411991753559
"MUL1",0.00270931273882533
"FAM43B",0.00272077595300056
"CDA",0.00272965945794237
"PINK1",0.00272965945794237
"MIR6084",0.0027325632779716
"PINK1-AS",0.00275260172611263
"DDOST",0.0027809917350766
"KIF17",0.0027809917350766
"RP5-930J4.5",0.0027809917350766
"SH2D5",0.00278799416448046
"RP5-930J4.2",0.00279424648173109
"HP1BP3",0.00279509312648422
"EIF4G3",0.00279897005907796
"RNU7-200P",0.00280077866240984
"MIR1256",0.0028467395205113
"RP11-487E1.2",0.00284991572202486
"HSPE1P27",0.00288511898336314
"RP3-329E20.3",0.00289343305375247
"ECE1",0.00289343305375247
"RP3-329E20.2",0.00289343305375247
"ECE1-AS1",0.00289343305375247
"PPP1R11P1",0.00289343305375247
"PDE4DIPP10",0.00289343305375247
"RP11-293F5.1",0.00289343305375247
"NBPF2P",0.0028952653162402
"HS6ST1P1",0.00291477636747649
"CROCCP5",0.00293292327992361
"NBPF3",0.00294994873512783
"PFN1P10",0.00295839833820196
"ALPL",0.00295839833820196
"LINC02596",0.00298591165833911
"RAP1GAP",0.00298798017609975
"USP48",0.00301502699672505
"RP11-132G19.3",0.00308016776135197
"LDLRAD2",0.00308169371232643
"HSPG2",0.00310485021217831
"RP11-26H16.1",0.00311183319912392
"RP11-26H16.4",0.00312853942502379
"CELA3B",0.00312853942502379
"RP1-224A6.11",0.00314008035576789
"RN7SL386P",0.00317296557757595
"RNU6-1022P",0.00317296557757595
"CELA3A",0.00318134768969723
"RN7SL186P",0.00320388182559471
"RNU6-776P",0.00325124239063382
"LINC01635",0.00326561108934093
"LINC00339",0.00327184257633552
"CDC42",0.00330798678058601
"CDC42-AS1",0.00330798678058601
"RP1-224A6.10",0.00331131570566365
"CDC42-IT1",0.00339450724672419
"MPHOSPH6P1",0.00342533597921346
"WNT4",0.00342533597921346
"RP1-163O16.1",0.00345217391438989
"MIR4418",0.00345622635539969
"PPIAP34",0.00345622635539969
"RP11-415K20.2",0.00347240997755012
"ZBTB40",0.00349515470719216
"ZBTB40-IT1",0.00354392443799912
"EPHA8",0.00354392443799912
"MIR6127",0.00354982845791954
"C1QA",0.00355442649108421
"C1QC",0.00359981239822789
"C1QB",0.00362000673964518
"EPHB2",0.00366557854749644
"MIR4684",0.00370253253477435
"RP11-69E9.1",0.00370253253477435
"MIR4253",0.00370253253477435
"LACTBL1",0.0037167234875263
"TEX46",0.00372673524005282
"KDM1A",0.00373568852231821
"RP1-184J9.2",0.00373568852231821
"MIR3115",0.00373842508418111
"ENSG00000266802",0.00375830132980696
"LUZP1",0.00377039547339276
"RP5-979D14.1",0.00378502388659018
"RNU6-514P",0.00378502388659018
"RNU6-135P",0.00378502388659018
"HTR1D",0.00378757157825859
"RP5-1057J7.1",0.00385512257155538
"LINC01355",0.00385512257155538
"RP5-1057J7.8",0.00385512257155538
"HNRNPR",0.00386018709842814
"ZNF436",0.00390681358369358
"ZNF436-AS1",0.00391745768406189
"Y_RNA",0.00396148242534124
"RP5-1057J7.7",0.00397326068652307
"TCEA3",0.0039795937471406
"RP4-654C18.1",0.00398128902528032
"ASAP3",0.00398780209528224
"E2F2",0.00399731797794703
"RP1-150O5.3",0.00405551995527143
"ID3",0.00409271846272426
